ID,DateTimeUTC,TapType,StopId,CompanyId,BusID,PAN
1,22-01-2018 13:00:00,ON,Stop1,Company1,Bus37,5500005555555550
2,22-01-2018 13:05:00,OFF,Stop2,Company1,Bus37,5500005555555550
3,22-01-2018 14:00:00,ON,Stop1,Company3,Bus30,122000000000003
4,22-01-2018 14:05:00,OFF,Stop1,Company3,Bus30,122000000000003
5,22-01-2018 13:00:00,ON,Stop1,Company1,Bus37,34343434343434
6,22-01-2018 13:00:00,ON,Stop1,Company1,Bus37,5019717010103740
7,22-01-2018 13:05:00,OFF,Stop3,Company1,Bus37,5019717010103740
8,23-01-2018 11:00:00,ON,Stop3,Company1,Bus40,4917300800000000
9,23-01-2018 11:50:00,OFF,Stop2,Company1,Bus40,4917300800000000
10,23-01-2018 20:00:00,ON,Stop2,Company2,Bus40,4917300800000000
11,23-01-2018 21:50:00,OFF,Stop3,Company2,Bus40,4917300800000000
12,24-01-2018 20:00:00,ON,Stop2,Company3,Bus40,4484070000000000
13,24-01-2018 21:50:00,ON,Stop1,Company3,Bus40,4484070000000000
